domain	policy	dmarc-providers
evus.gov	reject	self,dhs-nppd
nebraska.gov	none	self
ilga.gov	DNE	
vote.gov	reject	self,dhs-nppd
copyright.gov	DNE	
wicourts.gov	DNE	
ks.gov	DNE	
safercar.gov	reject	agari,self,dhs-nppd
nga.gov	reject	dhs-nppd
panynj.gov	DNE	
fec.gov	none	self
wisconsindot.gov	DNE	
wv.gov	none	dmarcanalyzer
atf.gov	reject	dhs-nppd,self
usdoj.gov	none	dhs-nppd,self
ornl.gov	reject	self,dhs-nppd
blm.gov	reject	self,dhs-nppd,valimail
azsos.gov	DNE	
fdic.gov	reject	agari,dhs-nppd
lanl.gov	reject	proofpoint,dhs-nppd,self
regulations.gov	reject	self,dhs-nppd
malegislature.gov	DNE	
climate.gov	reject	self,dhs-nppd
energystar.gov	reject	dmarcian,dhs-nppd,self
bea.gov	reject	self,dmarcian,dhs-nppd
nsa.gov	DNE	
dea.gov	reject	dhs-nppd,self
stopbullying.gov	reject	agari,dhs-nppd
traviscountytx.gov	quarantine	self
baltimorecity.gov	none	mxtoolbox
mi.gov	none	self
fnal.gov	none	mxtoolbox,dhs-nppd
medicaid.gov	reject	agari,dhs-nppd
azdot.gov	DNE	
sss.gov	reject	self,dhs-nppd
womenshealth.gov	reject	agari,dhs-nppd
anl.gov	quarantine	dmarcian,dhs-nppd,self
txcourts.gov	DNE	
sanantonio.gov	none	dmarcian
minneapolismn.gov	none	
utcourts.gov	DNE	
bop.gov	reject	dhs-nppd,self
marylandtaxes.gov	DNE	
doe.gov	reject	dhs-nppd,self
fbijobs.gov	reject	dhs-nppd
indy.gov	DNE	
commerce.gov	none	proofpoint,self
osac.gov	reject	self,dhs-nppd
gao.gov	none	proofpoint,self
usbr.gov	reject	self,dhs-nppd,valimail
ecfr.gov	DNE	
ncjrs.gov	reject	dhs-nppd,self
ncpublicschools.gov	DNE	
neh.gov	none	self,dhs-nppd
americaslibrary.gov	DNE	
americorps.gov	none	dhs-nppd
mncourts.gov	DNE	
ehawaii.gov	DNE	
gsaadvantage.gov	reject	self,dhs-nppd
healthearizonaplus.gov	DNE	
sciencebase.gov	reject	self,dhs-nppd,valimail
cabq.gov	none	postmarkapp
us-cert.gov	reject	self,dhs-nppd
time.gov	reject	self,dhs-nppd
ncdor.gov	none	proofpoint
registertovoteflorida.gov	DNE	
bouldercolorado.gov	DNE	
sd.gov	DNE	
tnk12.gov	DNE	
azed.gov	DNE	
wvlegislature.gov	DNE	
nrc.gov	reject	dhs-nppd,self
doleta.gov	reject	self,dhs-nppd
research.gov	reject	self,dhs-nppd
cjis.gov	reject	self,dhs-nppd
nassaucountyny.gov	DNE	
snohomishcountywa.gov	DNE	
investor.gov	reject	self,dhs-nppd
ohiodnr.gov	DNE	
phoenix.gov	quarantine	
mecknc.gov	reject	self
childwelfare.gov	reject	agari,dhs-nppd
nysenate.gov	none	self
iowadot.gov	DNE	
healthypeople.gov	reject	agari,dhs-nppd
doc.gov	none	proofpoint,self,dhs-nppd
loudoun.gov	DNE	
cambridgema.gov	DNE	
arcourts.gov	DNE	
e-verify.gov	reject	self,dhs-nppd
usmint.gov	reject	self,dhs-nppd
gsaauctions.gov	reject	self,dhs-nppd
wyo.gov	DNE	
usability.gov	reject	agari,dhs-nppd
transportation.gov	reject	agari,self,dhs-nppd
pnnl.gov	none	dhs-nppd,agari,self
atlantaga.gov	DNE	
ourdocuments.gov	reject	dhs-nppd
stlouis-mo.gov	DNE	
ada.gov	reject	dhs-nppd,self
franklincountyohio.gov	DNE	
raleighnc.gov	DNE	
ustr.gov	DNE	
huduser.gov	reject	self,dhs-nppd
ftccomplaintassistant.gov	reject	dhs-nppd
nationalmap.gov	reject	self,dhs-nppd,valimail
intelligencecareers.gov	DNE	
sanjoseca.gov	DNE	
collincountytx.gov	DNE	
marylandhealthconnection.gov	DNE	
azcourts.gov	DNE	
pima.gov	DNE	
ttb.gov	reject	self,dhs-nppd
tempe.gov	none	dmarcanalyzer
scstatehouse.gov	none	self
cftc.gov	reject	self,dhs-nppd
floridahealth.gov	DNE	
mdcourts.gov	DNE	
ffiec.gov	reject	self,dhs-nppd
brooklinema.gov	DNE	
flhealth.gov	DNE	
benefits.gov	reject	self,dhs-nppd
arkansased.gov	DNE	
educateiowa.gov	DNE	
globalchange.gov	DNE	
privacyshield.gov	reject	dhs-nppd,self
ready.gov	reject	self,dhs-nppd
azcc.gov	DNE	
alacourt.gov	DNE	
fortworthtexas.gov	none	self
read.gov	DNE	
wyoming.gov	DNE	
louisvilleky.gov	none	self
alexandriava.gov	DNE	
charlottenc.gov	DNE	
nsopw.gov	reject	dmarcanalyzer,dhs-nppd,self,unknown:knickens@iir.com
lakecountyil.gov	DNE	
orau.gov	reject	dhs-nppd,self
glendaleca.gov	DNE	
ihs.gov	reject	agari,dhs-nppd
nationalservice.gov	reject	dhs-nppd
tucsonaz.gov	DNE	
seminolecountyfl.gov	none	postmarkapp
healthfinder.gov	reject	agari,dhs-nppd
columbus.gov	DNE	
santaclaraca.gov	none	postmarkapp
ntsb.gov	reject	dhs-nppd,self
njconsumeraffairs.gov	DNE	
azdoa.gov	DNE	
dni.gov	DNE	
bjs.gov	reject	dhs-nppd,self
airnow.gov	reject	self,dhs-nppd
healthit.gov	reject	agari,dhs-nppd
mecklenburgcountync.gov	reject	self
access-board.gov	reject	dhs-nppd,self
america.gov	reject	self,dhs-nppd
ndcourts.gov	DNE	
como.gov	DNE	
azcleanelections.gov	DNE	
nwcg.gov	reject	self,dhs-nppd,proofpoint
trade.gov	reject	dhs-nppd,self
iowadnr.gov	DNE	
sdsos.gov	DNE	
cityofrochester.gov	DNE	
identitytheft.gov	reject	dhs-nppd
cbo.gov	none	valimail,self
sbcounty.gov	DNE	
somervillema.gov	DNE	
flsenate.gov	DNE	
fsd.gov	reject	self,dhs-nppd
gps.gov	reject	self,dhs-nppd
kentucky.gov	DNE	
longbeach.gov	none	
cookcountyil.gov	none	self
de.gov	DNE	
eac.gov	none	self,dhs-nppd
bloomingtonmn.gov	DNE	
aoc.gov	DNE	
mesaaz.gov	none	proofpoint
alamedaca.gov	DNE	
milwaukee.gov	none	self
ic3.gov	none	self,dhs-nppd
okc.gov	DNE	
suffolkcountyny.gov	DNE	
sandiegocounty.gov	DNE	
aqmd.gov	DNE	
foodsafety.gov	reject	agari,dhs-nppd
arts.gov	reject	dhs-nppd,self
oregonmetro.gov	DNE	
vaccines.gov	reject	agari,dhs-nppd
fjc.gov	none	self
monroecounty.gov	DNE	
edinamn.gov	DNE	
health.gov	reject	agari,dhs-nppd
chandleraz.gov	DNE	
fpds.gov	reject	self,dhs-nppd
plano.gov	DNE	
acl.gov	reject	agari,dhs-nppd
scottsdaleaz.gov	DNE	
torranceca.gov	none	self
usalearning.gov	reject	self,dhs-nppd
doi.gov	reject	self,dhs-nppd,valimail
nyassembly.gov	DNE	
hillsboro-oregon.gov	DNE	
harriscountytx.gov	DNE	
utahcounty.gov	DNE	
itis.gov	none	dhs-nppd
idahovotes.gov	DNE	
azasrs.gov	DNE	
lexingtonky.gov	DNE	
ncdhhs.gov	DNE	
wilmingtonde.gov	DNE	
codot.gov	DNE	
fresno.gov	none	self
disasterassistance.gov	reject	self,dhs-nppd
nij.gov	reject	dhs-nppd,self
fortbendcountytx.gov	none	self
frederickcountymd.gov	DNE	
tva.gov	reject	self,dhs-nppd
wichita.gov	DNE	
ncifcrf.gov	reject	agari,dhs-nppd
nmcourts.gov	DNE	
govinfo.gov	DNE	
dekalbcountyga.gov	DNE	
longmontcolorado.gov	none	dmarcian
hiv.gov	reject	agari,dhs-nppd
detroitmi.gov	DNE	
elpasotexas.gov	reject	mxtoolbox,self
md.gov	DNE	
richlandcountysc.gov	DNE	
santabarbaraca.gov	DNE	
visitthecapitol.gov	invalid	
il.gov	DNE	
2020census.gov	reject	self,agari,dhs-nppd
nmlegis.gov	DNE	
sussexcountyde.gov	DNE	
bbg.gov	none	self,dhs-nppd,postmarkapp
nola.gov	DNE	
nyjuror.gov	DNE	
charleston-sc.gov	DNE	
wy.gov	DNE	
lasvegasnevada.gov	none	self
presidio.gov	reject	self,dhs-nppd
greensboro-nc.gov	DNE	
vehiclehistory.gov	reject	dhs-nppd,self
nvsilverflume.gov	DNE	
floridahealthfinder.gov	DNE	
stamfordct.gov	DNE	
baltimorecountymd.gov	DNE	
dconc.gov	DNE	
durhamnc.gov	DNE	
montgomerycountyva.gov	DNE	
pullman-wa.gov	DNE	
smartgrid.gov	reject	mxtoolbox,self,dhs-nppd
nnlm.gov	reject	agari,dhs-nppd
mpro.gov	DNE	
uspis.gov	reject	agari,dhs-nppd
csb.gov	DNE	
ncdps.gov	DNE	
newhavenct.gov	DNE	
truman.gov	DNE	
floridadep.gov	DNE	
capnhq.gov	DNE	
pbgc.gov	reject	self,dhs-nppd
fincen.gov	reject	self,dhs-nppd
invasivespeciesinfo.gov	none	dhs-nppd,self,proofpoint
azleg.gov	DNE	
eugene-or.gov	DNE	
riversideca.gov	DNE	
portlandmaine.gov	DNE	
bellevuewa.gov	DNE	
coloradosprings.gov	none	mxtoolbox
mentalhealth.gov	reject	agari,dhs-nppd
chesterfield.gov	DNE	
scdhec.gov	DNE	
surpriseaz.gov	DNE	
pinecrest-fl.gov	DNE	
az511.gov	DNE	
daviscountyutah.gov	DNE	
kcmo.gov	DNE	
tncourts.gov	DNE	
williamsoncounty-tn.gov	DNE	
orangecountync.gov	DNE	
everykidinapark.gov	reject	self,dhs-nppd
nutrition.gov	none	self,dhs-nppd,proofpoint
ashevillenc.gov	DNE	
nlrb.gov	reject	valimail,self,dhs-nppd
surgeongeneral.gov	reject	agari,dhs-nppd
sbir.gov	reject	unknown:sba-operations@reisystems.com,dhs-nppd
huntingtonny.gov	DNE	
storycountyiowa.gov	DNE	
redmond.gov	DNE	
reginfo.gov	reject	self,dhs-nppd
worcesterma.gov	DNE	
santamonica.gov	DNE	
providenceri.gov	DNE	
opensource.gov	none	self
azbn.gov	DNE	
bernco.gov	NONE	
columbiacountyga.gov	DNE	
cstx.gov	DNE	
eriecountypa.gov	DNE	
patersonnj.gov	DNE	
nersc.gov	DNE	
cincinnati-oh.gov	DNE	
lakecountyfl.gov	DNE	
marysvillewa.gov	DNE	
kdheks.gov	DNE	
illinoiscourts.gov	DNE	
greenecountymo.gov	DNE	
cityofrockhillsc.gov	DNE	
corvallisoregon.gov	DNE	
pinalcountyaz.gov	DNE	
princegeorgescountymd.gov	invalid	
springfieldmo.gov	none	postmarkapp
ncagr.gov	DNE	
nano.gov	DNE	
sfwmd.gov	DNE	
bia.gov	reject	self,dhs-nppd,valimail
bridgeportct.gov	DNE	
chattanooga.gov	DNE	
missouri.gov	DNE	
myfloridahouse.gov	DNE	
jobcorps.gov	reject	self,dhs-nppd
msha.gov	reject	self,dhs-nppd
myohio.gov	DNE	
faasafety.gov	reject	valimail,self,dhs-nppd
cuidadodesalud.gov	reject	agari,dhs-nppd
healthvermont.gov	DNE	
nccourts.gov	DNE	
oregonvotes.gov	DNE	
bts.gov	reject	agari,self,dhs-nppd
fayettecountyga.gov	DNE	
brokenarrowok.gov	none	self
majury.gov	DNE	
buffalony.gov	DNE	
burlingtonvt.gov	DNE	
fhfa.gov	reject	postmarkapp,dhs-nppd,self
mauicounty.gov	DNE	
outdoornebraska.gov	DNE	
polkcountyiowa.gov	DNE	
geoplatform.gov	reject	self,dhs-nppd,valimail
baaqmd.gov	DNE	
hayward-ca.gov	DNE	
mountainview.gov	DNE	
democraticleader.gov	DNE	
lomalinda-ca.gov	DNE	
savannahga.gov	DNE	
justthinktwice.gov	reject	dhs-nppd,self
njstart.gov	DNE	
carlsbadca.gov	DNE	
cor.gov	DNE	
dublinohiousa.gov	DNE	
fargond.gov	DNE	
flhealthsource.gov	DNE	
honolulu.gov	DNE	
marylandattorneygeneral.gov	DNE	
newmexico.gov	DNE	
ntis.gov	reject	self,dhs-nppd
ohioauditor.gov	DNE	
pittsburghpa.gov	DNE	
stpaul.gov	DNE	
iowacore.gov	DNE	
kirklandwa.gov	DNE	
psc.gov	reject	agari,dhs-nppd
rrb.gov	none	self,dhs-nppd
rutherfordcountytn.gov	DNE	
mycreditunion.gov	DNE	
aztaxes.gov	DNE	
chulavistaca.gov	DNE	
iowaworkforcedevelopment.gov	DNE	
itdashboard.gov	reject	self,dhs-nppd
moneyfactory.gov	reject	self,dhs-nppd
caledonia-wi.gov	DNE	
camdenmaine.gov	DNE	
friscotexas.gov	DNE	
hamiltontn.gov	DNE	
lowellma.gov	none	self
mcleancountyil.gov	DNE	
employeeexpress.gov	reject	self,dhs-nppd
cdfifund.gov	reject	self,dhs-nppd
coag.gov	DNE	
id.gov	DNE	
ncparks.gov	DNE	
princetonnj.gov	DNE	
ttbonline.gov	reject	self,dhs-nppd
ustaxcourt.gov	DNE	
waukeshacounty.gov	DNE	
laquintaca.gov	DNE	
berkeleycountysc.gov	DNE	
carlislema.gov	DNE	
lauderhill-fl.gov	none	mxtoolbox
namus.gov	reject	dhs-nppd,self
oh.gov	DNE	
girlshealth.gov	reject	agari,dhs-nppd
greshamoregon.gov	DNE	
amherstma.gov	DNE	
columbiasc.gov	DNE	
courtswv.gov	DNE	
iowacollegeaid.gov	DNE	
norwoodma.gov	DNE	
ohioattorneygeneral.gov	DNE	
opic.gov	reject	self,dhs-nppd
pppl.gov	reject	self,dhs-nppd
fltreasurehunt.gov	DNE	
organdonor.gov	reject	agari,dhs-nppd
bldrdoc.gov	reject	self,dhs-nppd
birminghamal.gov	DNE	
annapolis.gov	reject	self
brevardfl.gov	DNE	
claytonmo.gov	DNE	
newportbeachca.gov	DNE	
nnva.gov	DNE	
yukonok.gov	DNE	
uscp.gov	DNE	
atfonline.gov	reject	dhs-nppd,self
cfpb.gov	none	dhs-nppd,self
energycodes.gov	reject	dhs-nppd
oaklandca.gov	DNE	
occ.gov	reject	self,dhs-nppd
uspsoig.gov	none	self,dhs-nppd,postmarkapp
exim.gov	reject	self,dhs-nppd
fdot.gov	DNE	
azdps.gov	DNE	
augustaga.gov	DNE	
azmd.gov	DNE	
blacksburg.gov	DNE	
manchesternh.gov	DNE	
ncworks.gov	DNE	
usmarshals.gov	reject	dhs-nppd,self
usap.gov	reject	self,dhs-nppd
abilenetx.gov	none	self
akronohio.gov	DNE	
ankenyiowa.gov	DNE	
dccourts.gov	DNE	
gilbertaz.gov	DNE	
memphistn.gov	DNE	
springfield-or.gov	DNE	
washingtondc.gov	DNE	
wvinsurance.gov	DNE	
plainlanguage.gov	reject	self,dhs-nppd
cedarparktexas.gov	DNE	
ndhealth.gov	DNE	
norfolk.gov	DNE	
digital.gov	reject	self,dhs-nppd
ncdcr.gov	DNE	
arlington-tx.gov	DNE	
azdhs.gov	DNE	
beaumonttexas.gov	DNE	
beavercountypa.gov	DNE	
cityofpleasantonca.gov	DNE	
claycountymo.gov	DNE	
ferndalemi.gov	DNE	
fortsmithar.gov	DNE	
herndon-va.gov	DNE	
illinoiscomptroller.gov	DNE	
irsvideos.gov	reject	self,dhs-nppd
lynnwoodwa.gov	DNE	
miamitwpoh.gov	DNE	
nevadatreasurer.gov	DNE	
newarkde.gov	DNE	
newbostonnh.gov	DNE	
nystax.gov	DNE	
peoriaaz.gov	DNE	
pflugervilletx.gov	DNE	
richfieldmn.gov	DNE	
romi.gov	DNE	
roundrocktexas.gov	reject	dmarcian
shelbycountytn.gov	DNE	
sosmt.gov	none	self
stcharlesil.gov	DNE	
tigard-or.gov	DNE	
woodstockga.gov	DNE	
wvsos.gov	DNE	
sdlegislature.gov	DNE	
deldot.gov	DNE	
texasattorneygeneral.gov	DNE	
usconsulate.gov	reject	self,dhs-nppd
arcadiaca.gov	DNE	
mbda.gov	none	self
globe.gov	reject	proofpoint,self,dhs-nppd
azjobconnection.gov	DNE	
digitaldashboard.gov	reject	self,dhs-nppd
ncdoj.gov	DNE	
teachiowa.gov	DNE	
azlibrary.gov	DNE	
andoverma.gov	DNE	
beavertonoregon.gov	DNE	
christiancountymo.gov	DNE	
fremont.gov	DNE	
harfordcountymd.gov	DNE	
healthdata.gov	reject	agari,dhs-nppd
islandcountywa.gov	DNE	
lansingmi.gov	DNE	
newtonma.gov	DNE	
oregonlegislature.gov	DNE	
pnl.gov	none	dhs-nppd,agari,self
sannet.gov	DNE	
sarasotafl.gov	none	dmarcian
search.gov	reject	self,dhs-nppd
slc.gov	DNE	
springdalear.gov	DNE	
usbg.gov	DNE	
watertown-ma.gov	DNE	
uscg.gov	reject	self,dhs-nppd
kansas.gov	DNE	
brookhavenga.gov	DNE	
alabcboard.gov	DNE	
consumer.gov	reject	dhs-nppd,self
buckeyeaz.gov	none	mxtoolbox
filelocal-wa.gov	DNE	
lewiscountywa.gov	DNE	
gloucestercountynj.gov	DNE	
acquisition.gov	reject	self,dhs-nppd
hobokennj.gov	DNE	
cpars.gov	reject	self,dhs-nppd
jobs4tn.gov	DNE	
leoncountyfl.gov	none	dmarcanalyzer,proofpoint
pittcountync.gov	DNE	
staffordcountyva.gov	DNE	
tnreconnect.gov	DNE	
vi.gov	DNE	
fletc.gov	reject	self,dhs-nppd
ramq.gov	DNE	
texasagriculture.gov	none	self
alabamapublichealth.gov	DNE	
amarillo.gov	DNE	
attorneygeneral.gov	DNE	
baldwincountyal.gov	DNE	
bendoregon.gov	DNE	
coronaca.gov	none	
courtnewsohio.gov	DNE	
danville-va.gov	DNE	
erie.gov	none	
floodsmart.gov	reject	self,dhs-nppd
floridaspharmacy.gov	DNE	
grapevinetexas.gov	DNE	
hamiltoncountyohio.gov	DNE	
howardcountymd.gov	DNE	
huntingtonbeachca.gov	DNE	
iowaagriculture.gov	DNE	
monroecounty-fl.gov	none	self
mylacounty.gov	DNE	
nebraskalegislature.gov	DNE	
performance.gov	reject	self,dhs-nppd
plymouthmn.gov	DNE	
portagemi.gov	DNE	
presidentialserviceawards.gov	reject	dhs-nppd
randolphcountync.gov	DNE	
reno.gov	DNE	
sanmarcostx.gov	quarantine	
virginiageneralassembly.gov	DNE	
webercountyutah.gov	DNE	
wilmingtonnc.gov	DNE	
woodburymn.gov	DNE	
wrp.gov	reject	self,dhs-nppd,unknown:netops@devis.com
esrs.gov	reject	self,dhs-nppd
leecountync.gov	none	postmarkapp,self
williamsburgva.gov	DNE	
fai.gov	reject	self,dhs-nppd
edmondswa.gov	DNE	
galvestoncountytx.gov	DNE	
idahoworks.gov	DNE	
miamibeachfl.gov	DNE	
milford-de.gov	DNE	
elearningnc.gov	DNE	
patreasury.gov	DNE	
youth.gov	reject	agari,dhs-nppd
grantsolutions.gov	reject	agari,dhs-nppd
firstnet.gov	reject	self,dhs-nppd
azre.gov	DNE	
desmoineswa.gov	DNE	
elbertcounty-co.gov	DNE	
ofda.gov	reject	valimail,self,agari,dhs-nppd
stocktonca.gov	DNE	
vaemergency.gov	DNE	
ndc.gov	DNE	
saude.gov	DNE	
ar.gov	DNE	
hursttx.gov	DNE	
sanfordfl.gov	DNE	
acus.gov	reject	self,dhs-nppd
clarkcountyohio.gov	none	
floridashearingaidspecialists.gov	DNE	
goldenvalleymn.gov	DNE	
greenvillenc.gov	DNE	
missouricitytx.gov	DNE	
nationsreportcard.gov	reject	self,dhs-nppd
ncbar.gov	DNE	
ohiohouse.gov	DNE	
paristexas.gov	DNE	
shinertexas.gov	DNE	
vcf.gov	reject	dhs-nppd,self
wauconda-il.gov	DNE	
phe.gov	reject	agari,dhs-nppd
ferc.gov	reject	self,dhs-nppd
madisonal.gov	DNE	
alacop.gov	DNE	
everettwa.gov	none	self
greenwichct.gov	DNE	
killeentexas.gov	none	
kingsporttn.gov	DNE	
miamisprings-fl.gov	DNE	
ncirc.gov	reject	dmarcanalyzer,dhs-nppd,self,unknown:knickens@iir.com
oaklandparkfl.gov	DNE	
onrr.gov	reject	self,dhs-nppd,valimail
orangebeachal.gov	DNE	
ovcttac.gov	reject	dhs-nppd,self
peabody-ma.gov	DNE	
prescott-az.gov	DNE	
scvwd.gov	DNE	
surrycountyva.gov	DNE	
ucrdatatool.gov	reject	dhs-nppd,self
tjgo.gov	DNE	
midlandtexas.gov	DNE	
morriscountynj.gov	DNE	
alea.gov	DNE	
science360.gov	reject	self,dhs-nppd
smokefree.gov	reject	agari,dhs-nppd
511wi.gov	DNE	
adelantoca.gov	DNE	
arlingtonma.gov	DNE	
azdes.gov	DNE	
bhtx.gov	DNE	
borgertx.gov	DNE	
brightonco.gov	DNE	
cap.gov	DNE	
cheathamcountytn.gov	DNE	
daytonohio.gov	DNE	
deltonafl.gov	DNE	
encinitasca.gov	DNE	
eulesstx.gov	none	self
fayettevillenc.gov	DNE	
flagstaffaz.gov	DNE	
futurereadyiowa.gov	DNE	
gaithersburgmd.gov	DNE	
gallatintn.gov	DNE	
gaprobate.gov	DNE	
garlandtx.gov	none	self
glastonbury-ct.gov	DNE	
greenacresfl.gov	none	mxtoolbox,postmarkapp,self
hickorycreek-tx.gov	DNE	
holdenma.gov	DNE	
intelink.gov	DNE	
lakestevenswa.gov	DNE	
lakeway-tx.gov	DNE	
losaltosca.gov	DNE	
masenate.gov	DNE	
mchenrycountyil.gov	quarantine	dmarcian,self
mendonma.gov	DNE	
mtelectionresults.gov	DNE	
njdoc.gov	DNE	
northmiamifl.gov	DNE	
nypa.gov	none	self
ranchomirageca.gov	DNE	
rockfordil.gov	DNE	
salemcountynj.gov	DNE	
sourcewell-mn.gov	DNE	
