nih.gov	none	agari
ca.gov	DNE	
weather.gov	DNE	
nasa.gov	none	proofpoint,self,dhs-nppd
state.gov	none	self
irs.gov	none	self
ed.gov	none	self
ny.gov	DNE	
noaa.gov	DNE	
healthcare.gov	reject	agari
cdc.gov	none	agari
uscis.gov	DNE	
ssa.gov	quarantine	self
fcc.gov	none	self
usgs.gov	none	self,dhs-nppd
dhs.gov	none	self
medlineplus.gov	none	agari
wa.gov	DNE	
nyc.gov	DNE	
usajobs.gov	DNE	
usda.gov	DNE	
usembassy.gov	none	self
nps.gov	none	self,dhs-nppd
va.gov	none	agari,dhs-nppd
texas.gov	DNE	
loc.gov	DNE	
uspto.gov	DNE	
sec.gov	none	self
epa.gov	none	self,dhs-nppd
fda.gov	none	self
nist.gov	DNE	
ohio.gov	DNE	
virginia.gov	DNE	
uscourts.gov	none	self
house.gov	none	self,returnpath
studentloans.gov	none	self
in.gov	DNE	
census.gov	none	self,agari
bls.gov	none	self
whitehouse.gov	DNE	
pa.gov	DNE	
michigan.gov	DNE	
faa.gov	none	self
cia.gov	DNE	
mo.gov	none	proofpoint
usa.gov	none	self,dhs-nppd
cbp.gov	reject	self
utah.gov	DNE	
maryland.gov	none	dmarcian,valimail
ftc.gov	reject	self
oregon.gov	DNE	
illinois.gov	none	self
senate.gov	reject	self
archives.gov	reject	
opm.gov	DNE	
mass.gov	DNE	
energy.gov	none	
dot.gov	DNE	
wi.gov	DNE	
congress.gov	DNE	
fbi.gov	reject	self
lacounty.gov	DNE	
ct.gov	DNE	
hhs.gov	none	agari
tsp.gov	none	self
ga.gov	DNE	
clinicaltrials.gov	none	agari
cancer.gov	none	agari
tsa.gov	DNE	
colorado.gov	DNE	
cms.gov	none	agari
justice.gov	DNE	
login.gov	reject	agari,self,dhs-nppd
dc.gov	DNE	
flhsmv.gov	DNE	
osha.gov	reject	self
georgia.gov	DNE	
tn.gov	DNE	
usaid.gov	none	self
fema.gov	none	self
usps.gov	reject	agari
treasury.gov	none	self,dhs-nppd
eftps.gov	none	self
ky.gov	DNE	
medicare.gov	none	agari
eia.gov	none	self
nsf.gov	none	self,dhs-nppd
seattle.gov	DNE	
defense.gov	DNE	
mn.gov	DNE	
sba.gov	DNE	
drugabuse.gov	none	agari
dol.gov	reject	self
aviationweather.gov	DNE	
pay.gov	DNE	
wisconsin.gov	DNE	
recreation.gov	DNE	
idaho.gov	DNE	
nysed.gov	DNE	
sc.gov	DNE	
lbl.gov	DNE	
nv.gov	DNE	
pr.gov	DNE	
kingcounty.gov	DNE	
nj.gov	DNE	
nwcg.gov	DNE	
alaska.gov	DNE	
nc.gov	DNE	
gpo.gov	DNE	
ncdot.gov	DNE	
hud.gov	DNE	
miamidade.gov	DNE	
gsa.gov	none	self,dhs-nppd
panynj.gov	DNE	
nhtsa.gov	DNE	
treasurydirect.gov	none	self
fafsa.gov	none	self
export.gov	DNE	
mt.gov	DNE	
bart.gov	DNE	
ok.gov	DNE	
usastaffing.gov	DNE	
alabama.gov	none	proofpoint
nrel.gov	reject	self
fueleconomy.gov	DNE	
federalreserve.gov	reject	self,dhs-nppd
delaware.gov	DNE	
nh.gov	DNE	
iowa.gov	DNE	
txdmv.gov	DNE	
maricopa.gov	invalid	
austintexas.gov	DNE	
peacecorps.gov	none	self
fairfaxcounty.gov	none	agari
wicourts.gov	DNE	
anl.gov	DNE	
consumerfinance.gov	none	self
arkansas.gov	DNE	
az.gov	DNE	
maine.gov	DNE	
phila.gov	DNE	
sandiego.gov	DNE	
fws.gov	none	self,dhs-nppd
fbo.gov	DNE	
nebraska.gov	none	self
nycourts.gov	DNE	
llnl.gov	none	self
hawaii.gov	none	self
copyright.gov	DNE	
montgomerycountymd.gov	DNE	
ne.gov	DNE	
marylandhealthconnection.gov	DNE	
airnow.gov	DNE	
data.gov	none	self,dhs-nppd
osti.gov	none	self
nd.gov	DNE	
louisiana.gov	DNE	
boston.gov	DNE	
ilsos.gov	DNE	
ice.gov	DNE	
donotcall.gov	reject	self
ri.gov	DNE	
portlandoregon.gov	DNE	
attorneygeneral.gov	DNE	
lanl.gov	none	self
la.gov	DNE	
vermont.gov	DNE	
fnal.gov	none	
mymedicare.gov	reject	agari
houstontx.gov	none	proofpoint
ms.gov	DNE	
sandia.gov	none	self
njcourts.gov	none	
phoenix.gov	DNE	
energystar.gov	DNE	
grants.gov	none	agari
disasterassistance.gov	DNE	
ahrq.gov	none	agari
cpsc.gov	none	self
pacer.gov	DNE	
ks.gov	DNE	
ornl.gov	none	self
ncpublicschools.gov	DNE	
eeoc.gov	none	self
sss.gov	reject	self
federalregister.gov	DNE	
choosemyplate.gov	DNE	
doe.gov	none	
ecfr.gov	DNE	
vets.gov	reject	agari,dhs-nppd
tnk12.gov	DNE	
america.gov	none	self
wisconsindot.gov	DNE	
usitc.gov	none	self,dhs-nppd
clarkcountynv.gov	DNE	
fbijobs.gov	DNE	
hrsa.gov	none	agari
supremecourt.gov	DNE	
nrc.gov	none	self
evus.gov	DNE	
bnl.gov	DNE	
samhsa.gov	reject	agari
pima.gov	DNE	
nashville.gov	DNE	
time.gov	DNE	
science.gov	none	self
safercar.gov	DNE	
azdot.gov	DNE	
usmint.gov	none	self
usdoj.gov	DNE	
sd.gov	DNE	
genome.gov	reject	agari
fec.gov	quarantine	self
mi.gov	DNE	
fdic.gov	reject	agari,dhs-nppd
benefits.gov	none	self
blm.gov	none	self,dhs-nppd
treas.gov	none	self
ready.gov	DNE	
americorps.gov	none	self
doleta.gov	DNE	
loudoun.gov	DNE	
bop.gov	DNE	
nga.gov	DNE	
doi.gov	none	self,dhs-nppd
baltimorecity.gov	DNE	
wv.gov	none	dmarcanalyzer
medicaid.gov	reject	agari
neh.gov	none	self,dhs-nppd
